     Datum;      5 aus 50;   EZ;  Spieleinsatz; Anz. Kl. 1;   Quote Kl. 1; Anz. Kl. 2;   Quote Kl. 2; Anz. Kl. 3;   Quote Kl. 3; Anz. Kl. 4;   Quote Kl. 4; Anz. Kl. 5;   Quote Kl. 5; Anz. Kl. 6;   Quote Kl. 6; Anz. Kl. 7;   Quote Kl. 7; Anz. Kl. 8;   Quote Kl. 8; Anz. Kl. 9;   Quote Kl. 9;Anz. Kl. 10;  Quote Kl. 10;Anz. Kl. 11;  Quote Kl. 11;Anz. Kl. 12;  Quote Kl. 12
12.04.2022;24;41;20;19;36; 4; 5; 16.599.270,00;    Jackpot; 20.065.560,40;          1;    713.768,60;          1;    402.532,30;         12;      5.533,00;        230;        360,80;        568;        160,70;        509;        130,40;      8.580;         24,60;     11.719;         20,10;     22.660;         19,70;     46.409;         12,00;    178.795;          9,40
15.04.2022; 5;10;24; 2;20; 7; 4; 38.590.592,00;    Jackpot; 27.011.866,96;          7;    237.056,40;         10;     93.582,10;         74;      2.085,90;      1.025;        188,20;      2.630;         80,70;      2.048;         75,30;     34.026;         14,60;     37.048;         14,60;     71.859;         14,40;    171.029;          8,10;    466.677;          8,10
19.04.2022; 7;17;35; 3;15; 3; 4; 15.842.338,00;    Jackpot; 29.863.487,80;    Jackpot;    681.220,53;          5;     76.835,30;         27;      2.347,00;        418;        189,50;        874;         99,60;        684;         92,60;     10.223;         19,70;     17.125;         14,10;     29.021;         14,10;     46.548;         11,40;    214.313;          7,50
22.04.2022;28;18;50; 2;42;11; 2; 40.267.380,00;    Jackpot; 37.478.496,67;          4;    603.179,40;          5;    195.296,70;         22;      7.321,30;        491;        410,00;        867;        255,40;      1.371;        117,40;     11.882;         43,20;     23.142;         24,70;     60.381;         19,70;     63.631;         19,70;    344.622;         11,80
26.04.2022;41;49;10;27;32; 9; 1; 19.231.724,00;    Jackpot; 42.778.536,42;          3;    275.654,70;          2;    233.184,60;         24;      3.205,20;        282;        340,90;        665;        159,00;        622;        123,60;      9.612;         25,50;     12.504;         21,90;     27.902;         18,60;     53.714;         12,00;    184.106;         10,60
29.04.2022;18;17; 5;34; 6; 1;11; 44.301.716,00;    Jackpot; 51.623.978,48;    Jackpot;  1.904.973,79;          8;    134.289,50;         21;      8.438,40;        518;        427,60;        858;        283,90;      1.705;        103,90;     12.403;         45,50;     25.998;         24,20;     83.846;         18,00;     65.413;         18,00;    374.546;         12,00
03.05.2022; 6;22;13;24;30; 5;10; 21.227.098,00;    Jackpot; 57.447.974,45;    Jackpot;  2.817.739,00;          8;     64.344,60;         20;      4.245,40;        460;        230,70;        894;        130,50;        931;         91,20;     12.151;         22,20;     18.198;         16,60;     39.714;         14,40;     61.837;         11,50;    230.599;          9,30
06.05.2022;49; 6; 5;39;50;12;10; 47.899.742,00;    Jackpot; 67.043.056,36;          2;  2.438.713,90;          6;    193.594,70;         23;      8.330,30;        571;        419,40;      1.020;        258,20;      1.440;        133,00;     13.785;         44,30;     24.142;         28,20;     68.284;         20,60;     72.531;         20,60;    366.299;         13,20
10.05.2022; 3; 7;50;34;43;10; 5; 25.338.390,00;    Jackpot; 73.797.253,00;          1;  1.089.550,70;          1;    614.455,90;         25;      4.054,10;        354;        357,80;        939;        148,40;        911;        111,20;     13.504;         23,90;     17.075;         21,10;     39.641;         17,20;     72.739;         11,70;    252.477;         10,10
13.05.2022;30;13;43; 7;47;11; 7; 57.895.502,00;    Jackpot; 85.388.139,76;          3;    829.835,50;         18;     77.998,10;         30;      7.719,40;      1.094;        264,60;      1.546;        205,90;      2.399;         96,50;     20.836;         35,40;     43.472;         18,90;     99.440;         17,40;    102.626;         17,40;    588.656;          9,90
17.05.2022; 2;41;13;45;50; 2; 3; 35.676.464,00;    Jackpot; 94.469.254,32;          1;  1.534.087,90;          3;    288.384,70;         27;      5.285,40;        460;        387,70;      1.046;        187,50;      1.000;        142,70;     16.414;         27,70;     22.970;         22,10;     47.527;         20,20;     91.592;         13,10;    360.049;         10,00
20.05.2022;47;32;22; 4;28; 2; 1; 78.386.804,00;          1;110.213.537,30;          5;    674.126,50;         14;    135.777,10;         49;      6.398,90;      1.154;        339,60;      2.374;        181,60;      2.559;        122,50;     35.172;         28,40;     54.543;         20,40;    122.149;         17,30;    194.047;         13,60;    793.332;         10,00
24.05.2022;45;26;40;25;47; 4; 5; 19.011.316,00;    Jackpot; 10.000.000,00;    Jackpot;    817.486,59;          5;     92.204,80;         10;      7.604,50;        252;        377,20;        564;        185,30;        503;        151,10;      9.189;         26,30;     11.688;         23,10;     23.946;         21,40;     51.246;         12,50;    186.339;         10,30
27.05.2022;29;48; 8;41;26; 5; 3; 37.844.036,00;          1; 16.811.926,40;          6;    407.463,30;          5;    183.543,50;         36;      4.204,80;        609;        310,70;      1.511;        137,70;      1.207;        125,40;     22.925;         21,00;     27.450;         19,60;     52.158;         19,50;    127.252;         10,00;    404.819;          9,40
31.05.2022;50;14;39;30;37; 4;12; 16.815.700,00;    Jackpot; 10.000.000,00;          2;    376.951,90;          1;    376.951,90;         14;      4.804,40;        192;        437,90;        449;        205,90;        523;        128,60;      5.799;         36,90;      9.389;         25,50;     23.086;         19,60;     31.117;         18,20;    142.754;         11,90
03.06.2022;41;27; 4;39;22; 9; 1; 38.292.638,00;    Jackpot; 16.892.674,84;          6;    274.430,50;          9;    103.177,30;         38;      4.030,80;        660;        290,00;      1.348;        156,20;      1.404;        109,00;     19.821;         24,60;     26.492;         20,50;     59.977;         17,20;    104.592;         12,30;    383.528;         10,10
07.06.2022;49; 7;48; 5;45; 3; 8; 17.213.074,00;    Jackpot; 19.991.028,16;          2;    370.081,00;    Jackpot;    417.417,04;         18;      3.825,10;        238;        361,60;        720;        136,80;        475;        136,80;     11.998;         20,00;     11.212;         20,00;     23.448;         19,80;     66.920;          9,00;    190.528;          9,00
10.06.2022;23;46;21;28; 3;12;10; 38.753.458,00;    Jackpot; 26.966.650,60;          1;  1.666.398,60;          3;    452.396,10;          7;     22.144,80;        497;        389,80;        736;        289,50;      1.597;         97,00;     11.076;         44,60;     21.557;         25,60;     72.397;         18,00;     58.290;         18,00;    309.332;         12,70
14.06.2022;28;30;35;11;50; 7; 8; 19.259.306,00;    Jackpot; 30.433.325,68;          1;    828.150,10;          1;    467.038,10;         14;      5.502,60;        264;        364,70;        636;        166,50;        534;        144,20;      9.651;         25,40;     13.388;         20,40;     26.518;         19,60;     53.147;         12,20;    205.533;          9,50
17.06.2022;45; 2; 1;23;43; 1; 9; 39.761.416,00;    Jackpot; 37.590.380,56;          4;    427.435,20;          5;    192.842,80;         26;      6.117,10;        499;        398,40;      1.294;        169,00;      1.043;        152,40;     19.771;         25,60;     25.033;         22,60;     54.234;         19,70;    109.912;         12,20;    382.376;         10,50
21.06.2022; 6;29;10;17;49; 5; 2; 20.968.808,00;    Jackpot; 41.743.891,24;          1;    901.658,70;          7;     72.641,90;         19;      4.414,40;        384;        273,00;      1.045;        110,30;        830;        101,00;     13.455;         19,80;     16.783;         17,80;     34.774;         16,20;     67.426;         10,40;    237.061;          8,90
24.06.2022;30;13;48;35;24; 5; 4; 42.691.426,00;    Jackpot; 50.400.856,88;          2;    917.865,60;          4;    258.816,70;         26;      6.567,90;        751;        284,20;      1.651;        142,20;      1.499;        113,90;     23.313;         23,30;     34.036;         17,90;     64.163;         17,90;    123.316;         11,60;    477.295;          9,00
